id,title,image_playlist,description,duration,genre,label_name,tag_list,author,created_at,release_date,last_modified,likes_count,reposts_count,public,sharing,numTracks,trackids,first_track,permalink_url
259183402,Free Falling,https://i1.sndcdn.com/artworks-000177016371-ii7lkn-t500x500.jpg,null,2257469,,null,,G_Vaz,2016-09-14T16:29:35Z,null,2016-09-14T16:29:35Z,0,0,true,public,7,"'278534059,278534059,217168526,149145122,15708649,278095397,280943513'",https://soundcloud.com/muzicarec/vinne-free-falling-original-mix,https://soundcloud.com/1002/sets/free-falling
81855177,corridos,https://i1.sndcdn.com/artworks-000004639182-ofcqyf-t500x500.jpg,null,7086949,,null,,Mr. Popper,2015-02-17T15:24:09Z,null,2015-02-17T15:24:11Z,0,0,true,public,18,"'10143348,2776674,167937578,113699704,118765880,118759831,89782935,96898643,65988546,53974631,29812246,101652150,98905298,101651800,101651857,143927270,193741516,172614166'",https://soundcloud.com/freestyleent/trokero-locochon-gerardo-ortiz,https://soundcloud.com/1014/sets/corridos
58773046,zizo,https://i1.sndcdn.com/artworks-000042856160-sglksd-t500x500.jpg,null,4114186,,null,,ahmed abdel aziz,2014-11-10T14:00:13Z,null,2014-11-10T14:00:14Z,0,0,true,public,11,"'83090027,23757868,49390532,15403530,81914622,144539696,129540101,43909510,90741711,132760860,80063367'",https://soundcloud.com/sama-ramadan/vbuxbjytnob3,https://soundcloud.com/1015/sets/zizo
82778512,ELECTRO,https://i1.sndcdn.com/artworks-000057083086-c1k14p-t500x500.jpg,null,1261568,,null,,LEESTER1018,2015-02-20T18:54:05Z,null,2016-01-06T18:19:26Z,0,0,true,public,4,"'109032400,8539027,108382051,30000068'",https://soundcloud.com/edmdopestmusic/memories,https://soundcloud.com/1018/sets/electro
63241849,salsa,https://i1.sndcdn.com/artworks-000075308767-ij13sr-t500x500.jpg,null,2351057,,null,,LAKPUEDE77,2014-12-09T23:35:34Z,null,2014-12-09T23:35:35Z,0,0,true,public,1,'142612946',https://soundcloud.com/dj-aneudy/salsa-dominicana-mix-40,https://soundcloud.com/1019/sets/salsa
75901087,rob x el,https://i1.sndcdn.com/avatars-000127552520-36i6cg-t500x500.jpg,null,467661,,null,,Almighty Mikey,2015-01-28T05:10:51Z,null,2015-01-28T05:10:51Z,0,0,true,public,2,"'128080976,26369229'",https://soundcloud.com/dazhon-howard/z-lo-ft-lil-dizzle-da-clown,https://soundcloud.com/1023/sets/rob-x-el
89737061,workout,https://i1.sndcdn.com/artworks-000094321548-xnw6x1-t500x500.jpg,null,4599339,,null,,S1027C,2015-03-15T22:24:54Z,null,2015-03-15T22:24:55Z,0,0,true,public,1,'172648709',https://soundcloud.com/trapmusic/dekku-rescue-me-ft-juliana-chahayed,https://soundcloud.com/1027/sets/workout
249604706,chill,https://i1.sndcdn.com/artworks-000131305604-ynuwqg-t500x500.jpg,null,4119786,,null,,Marley DeFreitas,2016-08-12T02:56:58Z,null,2016-08-12T03:00:24Z,1,0,true,public,14,"'226424818,157172725,182324537,182324537,879677,270727485,72028187,67129243,225561108,198625429,212707626,169975389,108310663,93360234'",https://soundcloud.com/itachi-24/waited-4-u-odesza-remix,https://soundcloud.com/1033/sets/chill
47408614,kk,https://i1.sndcdn.com/artworks-000490486209-sdhkf8-t500x500.jpg,null,34762560,Electronic,null,,YAMAN,2014-08-18T11:59:12Z,null,2021-03-25T21:12:14Z,1,0,true,public,17,"'154750091,47500235,38140271,12018850,110878322,198833071,47015992,40563812,143041228,222416922,26146239,162246462,197031818,125122859,140884191,506990577,116766210'",https://soundcloud.com/didem-senol/mahmut-orhan-ceiron-boral-kibil-remix,https://soundcloud.com/1035/sets/kk
474215712,Bruno,https://i1.sndcdn.com/artworks-000035958712-cu3j9j-t500x500.jpg,null,244292,,null,,Leonardo de Jesus,2018-03-17T03:18:57Z,null,2018-03-17T03:18:57Z,0,0,true,public,1,'70777568',https://soundcloud.com/majorlazer/bruno-mars-locked-out-of,https://soundcloud.com/1037/sets/bruno
1094564638,sound bites,https://i1.sndcdn.com/artworks-T7e9ZMMuEg1Orzwv-dJ6aSQ-t500x500.jpg,null,231471,,null,,OCEAN1038,2020-07-18T18:05:37Z,null,2020-07-18T18:05:37Z,0,0,true,public,1,'831796444',https://soundcloud.com/mightyrecordings/coastal,https://soundcloud.com/1038/sets/sound-bites
100600172,My Jams,https://i1.sndcdn.com/artworks-000658288858-cvflv5-t500x500.jpg,null,13690038,,null,,POU3Zz  ON DA TRACK,2015-04-22T02:27:35Z,null,2015-08-11T10:00:54Z,1,0,true,public,53,"'154083634,154083634,49570792,127084933,11973815,91930984,96851316,63582341,179301787,103051862,218540466,102758463,240451034,239746626,194788878,4126189,200840616,205804246,105625405,237443587,108383495,59432551,150547527,260750521,277147402,281780289,237362906,59569339,125058181,124428370,92249090,118298378,178644215,92284970,286276534,285032465,293715925,285816075,96626223,180646350,304584856,290741120,116006232,52545585,111640766,112716664,342294095,340418602,304455806,320439469,136382331,353802155,354822272'",https://soundcloud.com/ryan-m-figrag/kosraen-girl-by-witz,https://soundcloud.com/1041/sets/my-jams
317302379,tattletail,https://i1.sndcdn.com/artworks-000219069623-v1ibjt-t500x500.jpg,null,619182,,null,,DoomDuck,2017-04-21T20:10:12Z,null,2017-04-22T01:11:32Z,2,0,true,public,4,"'311832179,311832179,23131241,314581131'",https://soundcloud.com/neotonic/mama-hates-you,https://soundcloud.com/1043/sets/tattletail
